start_station_id,time_hour,start_lat,start_lng,start_borough,start_mode_landuse,temperature_2m_C,precipitation_mm,wind_speed_10m_kmh,hex_mta_entries,hex_mta_exits,predicted_gap
3400.04,2025-12-31 08:00:00,40.65378286163502,-73.95270188179111,BK,01,-2.3999999999999995,0.0,19.199999999999996,0.0,0.0,2.1679509
3420.01,2025-12-31 08:00:00,40.654144,-74.00422,BK,01,-2.4,0.0,19.2,0.0,0.0,9.238123
3426.02,2025-12-31 08:00:00,40.653368,-73.976291,BK,01,-2.4,0.0,19.2,0.0,0.0,6.392422
3428.02,2025-12-31 08:00:00,40.654798,-74.014372,BK,06,-2.4,0.0,19.2,0.0,0.0,7.896387
3439.03,2025-12-31 08:00:00,40.65519,-73.95640000000002,BK,01,-2.4,0.0,19.2,0.0,0.0,6.189389
3448.02,2025-12-31 08:00:00,40.65485,-73.96217,BK,01,-2.3999999999999995,0.0,19.199999999999996,0.0,0.0,5.659215
3451.01,2025-12-31 08:00:00,40.654098,-74.001131,BK,01,-2.4,0.0,19.2,0.0,0.0,8.842995
3457.03,2025-12-31 08:00:00,40.65482,-73.97321699999999,BK,01,-2.4,0.0,19.2,0.0,0.0,7.0514193
3460.01,2025-12-31 08:00:00,40.65708866668485,-74.00870203971863,BK,06,-2.4,0.0,19.2,0.0,0.0,8.2365
3460.02,2025-12-31 08:00:00,40.65571599999999,-74.006664,BK,01,-2.3999999999999995,0.0,19.199999999999996,0.0,0.0,9.175951
3498.09,2025-12-31 08:00:00,40.657265,-73.97416499999999,BK,01,-2.3999999999999995,0.0,19.199999999999996,0.0,0.0,7.331077
3512.03,2025-12-31 08:00:00,40.65686,-73.95331,BK,01,-2.4,0.0,19.2,0.0,0.0,5.3304653
3515.01,2025-12-31 08:00:00,40.658029,-73.989605,BK,01,-2.4,0.0,19.2,0.0,0.0,3.9539728
3538.09,2025-12-31 08:00:00,40.65628999999998,-73.97733500000002,BK,01,-2.400000000000001,0.0,19.200000000000006,0.0,0.0,7.0532227
3547.04,2025-12-31 08:00:00,40.658488999999996,-73.985543,BK,01,-2.4,0.0,19.2,0.0,0.0,5.159903
3555.04,2025-12-31 08:00:00,40.659555,-73.99506799999997,BK,01,-2.3999999999999995,0.0,19.199999999999996,0.0,0.0,5.9666753
3567.05,2025-12-31 08:00:00,40.66034,-73.93618,BK,01,-2.4,0.0,19.2,0.0,0.0,4.931588
3579.04,2025-12-31 08:00:00,40.659490558938955,-73.98013919591904,BK,01,-2.3999999999999995,0.0,19.199999999999996,0.0,0.0,6.0902596
3588.01,2025-12-31 08:00:00,40.659052999999986,-73.98854000000003,BK,01,-2.3999999999999995,0.0,19.199999999999996,0.0,0.0,5.104495
3593.1,2025-12-31 08:00:00,40.66131000000001,-73.96091,BK,01,-2.3999999999999995,0.0,19.199999999999996,0.0,0.0,6.5197353
3608.06,2025-12-31 08:00:00,40.66155,-73.93974000000001,BK,01,-2.3999999999999995,0.0,19.199999999999996,0.0,0.0,5.4552608
3620.02,2025-12-31 08:00:00,40.66090599999999,-73.983074,BK,01,-2.3999999999999995,0.0,19.199999999999996,0.0,0.0,3.036995
3625.04,2025-12-31 08:00:00,40.66035,-73.95678999999998,BK,01,-2.3999999999999995,0.0,19.199999999999996,0.0,0.0,6.16063
3625.07,2025-12-31 08:00:00,40.66127000000004,-73.95352000000001,BK,01,-2.4000000000000004,0.0,19.200000000000003,0.0,0.0,5.8157496
